rank,company_name,sector,region,headquarters_city,employee_count,key_decision_maker_role,hr_contact_path,giga_project_link,sourcing_note
1,Saudi Aramco (السعودية أرامكو),Energy,Central,Riyadh,70000,SVP Human Resources & Corporate Services,careers@aramco.com; aramco.com/en/careers,https://www.aramco.com,World's largest oil producer; PIF holds ~16% stake
2,SABIC (سابك),Petrochemicals,Central,Riyadh,33000,Chief Human Resources Officer,careers@sabic.com; sabic.com/en/careers,https://www.sabic.com,World's 4th largest petrochemical company; PIF indirect via Aramco
3,Saudi National Bank (البنك الوطني السعودي),Banking,Central,Riyadh,18000,Group Chief Human Resources Officer,careers@snb.com; snb.com/en/careers,https://snb.com,PIF owns 37%; largest Saudi bank by assets
4,Saudi Telecom Company - stc (الاتصالات السعودية),Telecommunications,Central,Riyadh,15000,Chief People Officer,careers@stc.com.sa; stc.com.sa/en/careers,https://www.stc.com.sa,PIF owns 64%; digital infrastructure champion
5,Ma'aden - Saudi Arabian Mining Company (معادن),Mining & Metals,Central,Riyadh,8000,SVP People & Talent,hr@maaden.com.sa; maaden.com.sa/en/careers,https://www.maaden.com.sa,PIF owns 67%; national mining champion; ~8,000 direct employees per 2025 annual report
6,Saudi Electricity Company (الشركة السعودية للكهرباء),Utilities,Central,Riyadh,30000,EVP Human Resources,careers@sec.com.sa; sec.gov.sa,https://www.sec.gov.sa,PIF owns 75%; monopoly power grid operator
7,Saudi Arabian Military Industries - SAMI (الصناعات العسكرية السعودية),Defense & Aerospace,Central,Riyadh,4500,Chief Human Resources Officer,careers@samidt.com; samidt.com/careers,https://samidt.com,PIF wholly-owned; localization of defense manufacturing
8,Roshn (روشن),Real Estate,Central,Riyadh,2500,Chief People Officer,careers@roshn.sa; roshn.sa/en/careers,https://www.roshn.sa,PIF wholly-owned; national community developer; 4x Best Places to Work winner
9,Qiddiya Investment Company (شركة القدية للاستثمار),Entertainment & Sports,Central,Riyadh,800,Chief People & Culture Officer,careers@qiddiya.com; qiddiya.com/en/careers,https://www.qiddiya.com,PIF wholly-owned; entertainment/sports/culture capital
10,Diriyah Gate Development Authority - DGDA (هيئة تطوير بوابة الدرعية),Real Estate & Culture,Central,Diriyah,3200,Chief Talent & Culture Officer,careers@dgda.gov.sa; dgda.gov.sa/en/careers,https://www.dgda.gov.sa,PIF-backed; historic Diriyah redevelopment; 3,200 employees per PitchBook
